name,club,Position,Appearances,Goals,Shots,Assists,Passes,Crosses,Fouls,Offsides,Tackles,Interceptions,Clearances,Headed Clearance,Recoveries,Successful 50/50s,Headed goals,Shots on target,Big chances missed,Big chances created,Yellow cards,Red cards,Blocked shots,Tackle success %,Last man tackles,Errors leading to goal,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Cross accuracy %,Accurate long balls,age,height_cm,overall,potential,wage_eur,pace,shooting,passing,dribbling,defending,physic,player_url,gpg,crosspg,ppg,apg,bspg,fpg,opg,tpg,ipg,clearpg,rpg,ffpg,bcpg,lbpg,aerial_win,duel_win,shot_accuracy,chances_missed
"frozenset({'Silva', 'Bernardo'})",Manchester City,Midfielder,36,7,26.0,4,971,50.0,10,0.0,27.0,10.0,11.0,1.0,75.0,30.0,0.0,15.0,3.0,3.0,0.0,0.0,1.0,67.0,,0.0,89.0,90.0,5.0,16.0,18.0,23.0,24.0,173.0,87.0,90.0,210000.0,81.0,76.0,83.0,92.0,51.0,67.0,https://sofifa.com/player/218667/bernardo-mota-carvalho-e-silva/20/159586,0.19444444444444445,1.3888888888888888,26.97222222222222,0.1111111111111111,0.027777777777777776,0.2777777777777778,0.0,0.75,0.2777777777777778,0.3055555555555556,2.0833333333333335,0.8333333333333334,0.08333333333333333,0.6388888888888888,0.23809523809523808,0.4972067039106145,0.5769230769230769,0.11538461538461539
"frozenset({'Ryan', 'Bertrand'})",Southampton,Defender,174,5,,14,6697,598.0,156,9.0,243.0,267.0,321.0,157.0,700.0,86.0,1.0,,,22.0,19.0,1.0,27.0,72.0,1.0,0.0,715.0,639.0,218.0,211.0,19.0,243.0,29.0,179.0,78.0,78.0,53000.0,76.0,53.0,70.0,76.0,76.0,70.0,https://sofifa.com/player/169705/ryan-bertrand/20/159586,0.028735632183908046,3.4367816091954024,38.48850574712644,0.08045977011494253,0.15517241379310345,0.896551724137931,0.05172413793103448,1.396551724137931,1.5344827586206897,1.8448275862068966,4.022988505747127,0.4942528735632184,0.12643678160919541,1.396551724137931,0.5081585081585082,0.5280649926144756,0.0,0.0
"frozenset({'Yves', 'Bissouma'})",Brighton and Hove Albion,Midfielder,1,0,2.0,0,9,0.0,2,1.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,3.0,1.0,0.0,0.0,0.0,,,74.0,,,,,,,,,,0.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,0.7272727272727273,0.0,0.0
"frozenset({'Bolasie', 'Yannick'})",Everton,Forward,119,11,219.0,17,2124,595.0,140,46.0,151.0,48.0,107.0,58.0,,,1.0,72.0,8.0,25.0,9.0,1.0,55.0,,,,,,,,,,30.0,188.0,100.0,75.0,63000.0,81.0,69.0,69.0,79.0,34.0,75.0,https://sofifa.com/player/189157/yannick-bolasie/20/159586,0.09243697478991597,5.0,17.84873949579832,0.14285714285714285,0.46218487394957986,1.1764705882352942,0.3865546218487395,1.26890756302521,0.40336134453781514,0.8991596638655462,0.0,0.0,0.21008403361344538,0.0,0.0,0.0,0.3287671232876712,0.0365296803652968
"frozenset({'Boly', 'Willy'})",Wolverhampton Wanderers,Defender,1,0,,0,68,0.0,0,0.0,5.0,1.0,5.0,4.0,9.0,,0.0,,,0.0,0.0,0.0,0.0,80.0,0.0,0.0,9.0,3.0,4.0,1.0,0.0,1.0,28.0,195.0,79.0,81.0,80000.0,64.0,35.0,62.0,61.0,78.0,82.0,https://sofifa.com/player/202750/willy-boly/20/159586,0.0,0.0,68.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,9.0,0.0,0.0,1.0,0.8,0.75,0.0,0.0
"frozenset({'Bong', 'Gaëtan'})",Brighton and Hove Albion,Defender,26,0,,0,796,56.0,16,0.0,40.0,41.0,72.0,37.0,148.0,16.0,0.0,,,0.0,2.0,0.0,0.0,83.0,0.0,1.0,99.0,80.0,30.0,29.0,11.0,38.0,,,,,,,,,,,,,0.0,2.1538461538461537,30.615384615384617,0.0,0.0,0.6153846153846154,0.0,1.5384615384615385,1.5769230769230769,2.769230769230769,5.6923076923076925,0.6153846153846154,0.0,1.4615384615384615,0.5084745762711864,0.553072625698324,0.0,0.0
"frozenset({'Robbie', 'Brady'})",Burnley,Midfielder,108,8,130.0,9,2894,657.0,95,12.0,213.0,123.0,191.0,87.0,491.0,116.0,0.0,38.0,0.0,20.0,11.0,0.0,45.0,75.0,,2.0,522.0,484.0,112.0,93.0,27.0,181.0,27.0,179.0,76.0,76.0,34000.0,72.0,72.0,76.0,76.0,66.0,63.0,https://sofifa.com/player/201884/robbie-brady/20/159586,0.07407407407407407,6.083333333333333,26.796296296296298,0.08333333333333333,0.4166666666666667,0.8796296296296297,0.1111111111111111,1.9722222222222223,1.1388888888888888,1.7685185185185186,4.546296296296297,1.0740740740740742,0.18518518518518517,1.6759259259259258,0.5463414634146342,0.5188866799204771,0.2923076923076923,0.0
"frozenset({'Claudio', 'Bravo'})",Manchester City,Goalkeeper,25,0,,0,719,,0,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,111.0,36.0,184.0,77.0,77.0,47000.0,,,,,,,https://sofifa.com/player/174543/claudio-bravo/20/159586,0.0,0.0,28.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0
frozenset({'Bruno'}),Brighton and Hove Albion,Defender,26,0,,0,984,42.0,19,0.0,30.0,39.0,61.0,31.0,117.0,15.0,0.0,,,0.0,3.0,0.0,0.0,57.0,0.0,0.0,81.0,61.0,28.0,22.0,19.0,62.0,,,,,,,,,,,,,0.0,1.6153846153846154,37.84615384615385,0.0,0.0,0.7307692307692307,0.0,1.1538461538461537,1.5,2.3461538461538463,4.5,0.5769230769230769,0.0,2.3846153846153846,0.56,0.5704225352112676,0.0,0.0
"frozenset({'Joe', 'Bryan'})",Fulham,Defender,1,0,,0,48,4.0,1,0.0,2.0,0.0,3.0,2.0,5.0,1.0,0.0,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4.0,6.0,0.0,0.0,50.0,1.0,25.0,174.0,73.0,77.0,29000.0,77.0,64.0,65.0,72.0,70.0,72.0,https://sofifa.com/player/203505/joe-bryan/20/159586,0.0,4.0,48.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0,0.4,0.0,0.0
